index,cafe_nm,Latitude,Longitude,scores,geometry,coverage_count
15941,메르씨,37.5603339,127.001121,0.9690443988087476,POINT (37.5603339 127.001121),9
5266,라온아토,37.57690170000001,126.9259424,0.9689499795246954,POINT (37.57690170000001 126.9259424),19
6999,꽁다방,37.482614,126.9306178,0.9680999688445848,POINT (37.482614 126.9306178),34
16064,투샷,37.5687891,127.0687808,0.9666775773767342,POINT (37.5687891 127.0687808),15
13276,방울새,37.5523121,127.0366065,0.9605905052647136,POINT (37.5523121 127.0366065),2
13911,그린눈복권,37.485564200000006,126.9320344,0.950350473188576,POINT (37.485564200000006 126.9320344),30
18624,호우주의보,37.541781,126.9936511,0.9485780957930484,POINT (37.541781 126.9936511),6
6459,이디야창동,37.6488256,127.052552,0.9484055526712448,POINT (37.6488256 127.052552),2
14634,헬로우커피,37.4998069,127.1232456,0.9471474141064496,POINT (37.4998069 127.1232456),14
13508,몬떼비서울,37.571832,126.9822208,0.9406567695046364,POINT (37.571832 126.9822208),69
16155,샐러드어클락,37.5823318,127.0687706,0.9388461472611046,POINT (37.5823318 127.0687706),4
17922,십앤칠커피바,37.498197,127.0390664,0.9192284777423446,POINT (37.498197 127.0390664),32
1064,공간,37.5336654,126.8666523,0.9189871945648722,POINT (37.5336654 126.8666523),10
20828,밀라커피,37.5800448,127.0135153,0.914164810705146,POINT (37.5800448 127.0135153),5
2629,카페필트레,37.5040956,127.0464442,0.9078255106008956,POINT (37.5040956 127.0464442),53
